trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1634,False,"{'a': 0.01, 'e': 0.19534266620658997}",20,5,16.83105797882962,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1635,False,"{'a': 0.01, 'e': 0.1951474211791675}",30,19,2.4101510082316824,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1636,False,"{'a': 0.01, 'e': 0.1949523712991825}",30,22,8.287700687112123,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1637,False,"{'a': 0.01, 'e': 0.194757516371585}",35,13,28.817383982972604,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1638,False,"{'a': 0.01, 'e': 0.19456285620152014}",20,6,24.47322435302564,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1639,False,"{'a': 0.01, 'e': 0.19436839059432767}",25,2,22.267516286243566,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
1640,False,"{'a': 0.01, 'e': 0.19417411935554202}",20,11,17.280275343041982,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1641,False,"{'a': 0.01, 'e': 0.19398004229089189}",20,12,16.928415175276456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1642,False,"{'a': 0.01, 'e': 0.1937861592063002}",20,14,0.06734145172476502,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1643,False,"{'a': 0.01, 'e': 0.1935924699078839}",20,8,23.425400565987562,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1644,False,"{'a': 0.01, 'e': 0.19339897420195362}",30,4,-2.6725808031457223,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
1645,False,"{'a': 0.01, 'e': 0.19320567189501364}",30,8,-45.82852740182843,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
1646,False,"{'a': 0.01, 'e': 0.19301256279376172}",30,15,10.959043241052136,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
1647,False,"{'a': 0.01, 'e': 0.1928196467050886}",25,12,0.6500444120554985,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1648,False,"{'a': 0.01, 'e': 0.19262692343607832}",30,17,19.752223568588526,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1649,False,"{'a': 0.01, 'e': 0.19243439279400748}",25,11,21.521942639624385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1650,False,"{'a': 0.01, 'e': 0.1922420545863455}",20,10,-10.11176448823779,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
1651,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,14,10.401835133327381,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1652,False,"{'a': 0.01, 'e': 0.19185795470508735}",20,9,21.457967284439214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1653,False,"{'a': 0.01, 'e': 0.19166619264739126}",25,17,13.636785220472106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1654,False,"{'a': 0.01, 'e': 0.19147462225590384}",25,16,13.752843906748401,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1655,False,"{'a': 0.01, 'e': 0.19128324333905458}",20,10,-2.8629722728636566,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1656,False,"{'a': 0.01, 'e': 0.19109205570546464}",25,1,-43.3503631035709,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
1657,False,"{'a': 0.01, 'e': 0.19090105916394629}",25,17,13.504293425470655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1658,False,"{'a': 0.01, 'e': 0.19071025352350304}",25,6,27.403905394902342,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1659,False,"{'a': 0.01, 'e': 0.19051963859332918}",35,25,16.895559095291937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1660,False,"{'a': 0.01, 'e': 0.19032921418280985}",25,5,-16.237424532509735,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
1661,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,11,15.801005152784885,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1662,False,"{'a': 0.01, 'e': 0.18994893615922714}",25,0,-25.022522114111755,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
1663,False,"{'a': 0.01, 'e': 0.18975908216588572}",25,12,-37.806041771323116,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
1664,False,"{'a': 0.01, 'e': 0.18956941793164234}",20,6,26.636024130610814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1665,False,"{'a': 0.01, 'e': 0.18937994326683263}",20,15,10.065805598570442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1666,False,"{'a': 0.01, 'e': 0.18919065798198204}",25,4,21.108016620233826,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1667,False,"{'a': 0.01, 'e': 0.18900156188780515}",20,0,10.352388191253608,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1668,False,"{'a': 0.01, 'e': 0.1888126547952059}",20,13,-9.570777354209476,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1669,False,"{'a': 0.01, 'e': 0.1886239365152772}",20,3,-34.05106130211124,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
1670,False,"{'a': 0.01, 'e': 0.18843540685930069}",20,5,21.69179693285099,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1671,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,20,7.210320547130763,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1672,False,"{'a': 0.01, 'e': 0.18805891266527416}",30,14,-25.277344056468195,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1673,False,"{'a': 0.01, 'e': 0.18787094775072993}",20,14,13.733833624848117,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1674,False,"{'a': 0.01, 'e': 0.18768317070714904}",20,6,26.784038650026005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
