trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2445,False,"{'a': 0.01, 'e': 0.08681290441415829}",20,14,10.52802463863029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2446,False,"{'a': 0.01, 'e': 0.08672613490173114}",35,19,28.97252845326699,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2447,False,"{'a': 0.01, 'e': 0.0866394521154461}",25,0,21.0123187689888,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2448,False,"{'a': 0.01, 'e': 0.08655285596862042}",20,14,12.314386690043733,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2449,False,"{'a': 0.01, 'e': 0.08646634637465792}",20,10,14.54849341722939,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2450,False,"{'a': 0.01, 'e': 0.086379923247049}",20,12,15.123480321687536,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2451,False,"{'a': 0.01, 'e': 0.0862935864993705}",30,16,23.392526072607783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2452,False,"{'a': 0.01, 'e': 0.08620733604528572}",25,13,19.536704456823188,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2453,False,"{'a': 0.01, 'e': 0.08612117179854416}",25,13,20.31519821409903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2454,False,"{'a': 0.01, 'e': 0.08603509367298158}",20,13,9.455677732711816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
