trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1851,False,"{'a': 0.01, 'e': 0.1572371663136276}",20,0,-9.445803067472859,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1852,False,"{'a': 0.01, 'e': 0.1570800077396975}",30,11,30.78489579031196,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1853,False,"{'a': 0.01, 'e': 0.1569230062457882}",20,11,7.496116788218532,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1854,False,"{'a': 0.01, 'e': 0.15676616167489826}",20,12,-0.3318822298445161,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1855,False,"{'a': 0.01, 'e': 0.156609473870183}",25,7,-3.964763524435435,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
1856,False,"{'a': 0.01, 'e': 0.15645294267495474}",25,12,0.20103606044816158,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
1857,False,"{'a': 0.01, 'e': 0.15629656793268212}",20,3,1.3893001079655407,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
1858,False,"{'a': 0.01, 'e': 0.15614034948699052}",20,9,0.2756519312328467,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1859,False,"{'a': 0.01, 'e': 0.15598428718166135}",25,0,-14.440121053831234,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1860,False,"{'a': 0.01, 'e': 0.15582838086063242}",20,6,9.96916734131186,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1861,False,"{'a': 0.01, 'e': 0.1556726303679973}",30,15,5.444422670426779,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1862,False,"{'a': 0.01, 'e': 0.15551703554800556}",20,6,20.968205697367605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1863,False,"{'a': 0.01, 'e': 0.15536159624506227}",20,3,23.37155402139844,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1864,False,"{'a': 0.01, 'e': 0.15520631230372822}",30,4,6.689593640005431,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
1865,False,"{'a': 0.01, 'e': 0.15505118356871936}",30,19,13.488484066641004,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1866,False,"{'a': 0.01, 'e': 0.15489620988490704}",20,10,5.632947127798688,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1867,False,"{'a': 0.01, 'e': 0.1547413910973175}",20,0,17.126504675759694,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1868,False,"{'a': 0.01, 'e': 0.15458672705113194}",30,2,2.245676908806902,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
1869,False,"{'a': 0.01, 'e': 0.15443221759168632}",30,19,-1.2792321228171766,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1870,False,"{'a': 0.01, 'e': 0.15427786256447115}",20,5,-20.69036599344666,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
1871,False,"{'a': 0.01, 'e': 0.1541236618151314}",25,0,-24.421484263259273,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
1872,False,"{'a': 0.01, 'e': 0.15396961518946634}",25,15,11.375427077034216,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1873,False,"{'a': 0.01, 'e': 0.15381572253342926}",20,12,9.116888016319399,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1874,False,"{'a': 0.01, 'e': 0.15366198369312759}",20,14,12.132463217379756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1875,False,"{'a': 0.01, 'e': 0.15350839851482234}",25,15,19.976323485022405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1876,False,"{'a': 0.01, 'e': 0.15335496684492847}",30,17,27.06817954227403,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
